Header,TimeStamp,QuatX,QuatY,QuatZ,QuatW,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,EulerX,EulerY,EulerZ,GravityX,GravityY,GravityZ,TimeStampGlob
,0,0.1,0.05,0.03,0.99,-0,0.01,0,-1,2.04,9.73,0,0,0,-0.9,2.05,9.54,0.208217620849609
,0,0.1,0.05,0.03,0.99,0,0,0,-0.96,2.07,9.73,0,0,0,-0.9,2.05,9.54,0.225152492523193
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.97,2.11,9.71,0,0,0,-0.9,2.05,9.54,0.24338698387146
,0,0.1,0.05,0.03,0.99,0,0,0,-0.95,2.07,9.71,0,0,0,-0.9,2.05,9.54,0.261029005050659
,0,0.1,0.05,0.03,0.99,-0,0,-0,-0.97,2.08,9.75,0,0,0,-0.9,2.05,9.54,0.279228210449219
,0,0.1,0.05,0.03,0.99,-0,0,0,-0.95,2.09,9.71,0,0,0,-0.9,2.05,9.54,0.294927597045898
,0,0.1,0.05,0.03,0.99,-0,0,-0,-0.95,2.07,9.73,0,0,0,-0.9,2.05,9.54,0.313497066497803
,0,0.1,0.05,0.03,0.99,-0,0,-0,-0.96,2.08,9.7,0,0,0,-0.9,2.05,9.54,0.330429315567017
,0,0.1,0.05,0.03,0.99,-0,0,-0,-0.95,2.09,9.72,0,0,0,-0.9,2.05,9.54,0.348094463348389
,0,0.1,0.05,0.03,0.99,-0.01,0,-0,-0.97,2.08,9.72,0,0,0,-0.9,2.05,9.54,0.365992546081543
,0,0.1,0.05,0.03,0.99,-0.01,0,-0,-0.99,2.09,9.72,0,0,0,-0.9,2.05,9.54,0.381993770599365
,0,0.1,0.05,0.03,0.99,-0.01,0.01,-0,-0.96,2.1,9.76,0,0,0,-0.9,2.05,9.54,0.399745464324951
,0,0.1,0.05,0.03,0.99,-0.01,0,-0,-0.95,2.08,9.69,0,0,0,-0.9,2.05,9.54,0.417176723480225
,0,0.1,0.05,0.03,0.99,-0.01,0,0,-0.99,2.03,9.73,0,0,0,-0.9,2.05,9.54,0.432841539382935
,0,0.1,0.05,0.03,0.99,-0.01,0.01,-0,-0.97,2.1,9.71,0,0,0,-0.9,2.05,9.54,0.451364517211914
,0,0.1,0.05,0.03,0.99,-0,0,0,-0.98,2.07,9.74,0,0,0,-0.9,2.05,9.54,0.469239473342896
,0,0.1,0.05,0.03,0.99,0,0,-0,-0.99,2.06,9.71,0,0,0,-0.9,2.05,9.54,0.484797477722168
,0,0.1,0.05,0.03,0.99,-0,-0,0,-0.99,2.07,9.75,0,0,0,-0.9,2.05,9.54,0.503736734390259
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.97,2.08,9.7,0,0,0,-0.9,2.05,9.54,0.521765232086182
,0,0.1,0.05,0.03,0.99,0,-0,-0,-0.98,2.07,9.7,0,0,0,-0.9,2.05,9.54,0.537780046463013
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.94,2.06,9.74,0,0,0,-0.9,2.05,9.54,0.555969476699829
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.96,2.09,9.71,0,0,0,-0.9,2.05,9.54,0.575626850128174
,0,0.1,0.05,0.03,0.99,0,0,0,-0.95,2.07,9.72,0,0,0,-0.9,2.05,9.54,0.593208789825439
,0,0.1,0.05,0.03,0.99,0,-0,0,-1,2.07,9.7,0,0,0,-0.9,2.05,9.54,0.611762046813965
,0,0.1,0.05,0.03,0.99,0,0,-0,-0.97,2.08,9.72,0,0,0,-0.9,2.05,9.54,0.629384756088257
,0,0.1,0.05,0.03,0.99,0.01,0,0,-0.97,2.08,9.74,0,0,0,-0.9,2.05,9.54,0.646960020065308
,0,0.1,0.05,0.03,0.99,0.01,-0.01,0,-0.97,2.07,9.7,0,0,0,-0.9,2.05,9.54,0.66514253616333
,0,0.1,0.05,0.03,0.99,0.01,-0,0,-0.99,2.05,9.73,0,0,0,-0.9,2.05,9.54,0.682247877120972
,0,0.1,0.05,0.03,0.99,0.01,-0,0,-0.96,2.09,9.73,0,0,0,-0.9,2.05,9.54,0.700514793395996
,0,0.1,0.05,0.03,0.99,0,0,0,-0.96,2.08,9.7,0,0,0,-0.9,2.05,9.54,0.717740774154663
,0,0.1,0.05,0.03,0.99,0.01,-0,0,-0.98,2.08,9.71,0,0,0,-0.9,2.05,9.54,0.734443664550781
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.97,2.08,9.73,0,0,0,-0.9,2.05,9.54,0.754289865493774
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.96,2.07,9.72,0,0,0,-0.9,2.05,9.54,0.772781133651733
,0,0.1,0.05,0.03,0.99,0.01,0,0,-0.99,2.09,9.74,0,0,0,-0.9,2.05,9.54,0.788454055786133
,0,0.1,0.05,0.03,0.99,0.01,-0,0,-0.97,2.09,9.74,0,0,0,-0.9,2.05,9.54,0.806955099105835
,0,0.1,0.05,0.03,0.99,0,0,0,-0.97,2.08,9.73,0,0,0,-0.9,2.05,9.54,0.825605392456055
,0,0.1,0.05,0.03,0.99,0,0,0,-0.96,2.07,9.73,0,0,0,-0.9,2.05,9.54,0.84360146522522
,0,0.1,0.05,0.03,0.99,0,0,0,-0.98,2.08,9.72,0,0,0,-0.9,2.05,9.54,0.863525152206421
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.98,2.08,9.71,0,0,0,-0.9,2.05,9.54,0.881372451782227
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.97,2.09,9.73,0,0,0,-0.9,2.05,9.54,0.898831605911255
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.97,2.07,9.72,0,0,0,-0.9,2.05,9.54,0.916692018508911
,0,0.1,0.05,0.03,0.99,0,0,0,-0.98,2.08,9.69,0,0,0,-0.9,2.05,9.54,0.933872938156128
,0,0.1,0.05,0.03,0.99,0,0,0,-0.97,2.08,9.72,0,0,0,-0.9,2.05,9.54,0.953359842300415
,0,0.1,0.05,0.03,0.99,0.01,0,0,-0.98,2.09,9.73,0,0,0,-0.9,2.05,9.54,0.972658634185791
,0,0.1,0.05,0.03,0.99,0.01,-0,0,-0.96,2.08,9.73,0,0,0,-0.9,2.05,9.54,0.988238573074341
,0,0.1,0.05,0.03,0.99,0,0,0,-0.96,2.08,9.72,0,0,0,-0.9,2.05,9.54,1.00685429573059
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.96,2.09,9.7,0,0,0,-0.9,2.05,9.54,1.02607202529907
,0,0.1,0.05,0.03,0.99,0,0,-0,-0.97,2.08,9.72,0,0,0,-0.9,2.05,9.54,1.04331660270691
,0,0.1,0.05,0.03,0.99,0,-0,-0,-0.97,2.07,9.71,0,0,0,-0.9,2.05,9.54,1.06301403045654
,0,0.1,0.05,0.03,0.99,0,0,-0,-0.98,2.07,9.7,0,0,0,-0.9,2.05,9.54,1.07991194725037
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.99,2.07,9.71,0,0,0,-0.9,2.05,9.54,1.09743070602417
,0,0.1,0.05,0.03,0.99,-0,0,0,-0.99,2.08,9.74,0,0,0,-0.9,2.05,9.54,1.11638140678406
,0,0.1,0.05,0.03,0.99,-0,0,-0,-0.97,2.06,9.71,0,0,0,-0.9,2.05,9.54,1.13428831100464
,0,0.1,0.05,0.03,0.99,0,0,0,-0.98,2.07,9.74,0,0,0,-0.9,2.05,9.54,1.15484309196472
,0,0.1,0.05,0.03,0.99,-0,-0,0,-0.98,2.08,9.7,0,0,0,-0.9,2.05,9.54,1.17441272735596
,0,0.1,0.05,0.03,0.99,0,-0,-0,-0.97,2.07,9.73,0,0,0,-0.9,2.05,9.54,1.18973588943481
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.97,2.08,9.72,0,0,0,-0.9,2.05,9.54,1.20729351043701
,0,0.1,0.05,0.03,0.99,0,-0,0,-0.98,2.07,9.71,0,0,0,-0.9,2.05,9.54,1.22680974006653
,0,0.1,0.05,0.03,0.99,0,0,0,-0.96,2.09,9.73,0,0,0,-0.9,2.05,9.54,1.24541902542114
