Header,TimeStamp,QuatX,QuatY,QuatZ,QuatW,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,EulerX,EulerY,EulerZ,GravityX,GravityY,GravityZ,TimeStampGlob
,0,0.37,0.54,-0.29,0.69,-0.14,1.44,-0.39,-9.4,2.62,-2.03,0,0,0,-9.51,1.96,1.29,0.885249853134155
,0,0.37,0.56,-0.29,0.69,-0.42,1.39,-0.38,-8.66,3.4,-3.18,0,0,0,-9.56,1.87,1.07,0.901521921157837
,0,0.36,0.57,-0.28,0.68,-1.27,1.32,-0.39,-9.86,2.66,-2.48,0,0,0,-9.6,1.78,0.88,0.920814037322998
,0,0.36,0.57,-0.27,0.68,-1.29,1.11,-0.27,-11.1,0.48,-1.4,0,0,0,-9.61,1.75,0.79,0.934904098510742
,0,0.36,0.58,-0.27,0.68,-0.96,0.9,-0.16,-9.88,-2.04,-0.76,0,0,0,-9.63,1.72,0.66,0.951582908630371
,0,0.36,0.59,-0.27,0.67,0.22,0.79,0.05,-9.44,-1.77,-1.05,0,0,0,-9.63,1.73,0.5,0.971006393432617
,0,0.37,0.59,-0.27,0.67,1.09,0.69,-0.07,-9.8,0.28,-1.16,0,0,0,-9.64,1.73,0.42,0.985558986663818
,0,0.37,0.59,-0.27,0.66,0.94,0.75,-0.1,-9.82,3.5,-2.21,0,0,0,-9.65,1.71,0.24,1.0014283657074
,0,0.38,0.6,-0.27,0.66,0.49,0.92,-0.1,-10.03,3.15,-1.5,0,0,0,-9.65,1.69,0.06,1.02092981338501
,0,0.38,0.6,-0.27,0.65,0.1,0.93,-0.11,-9.73,2.44,-1.24,0,0,0,-9.66,1.68,-0.02,1.03553104400635
,0,0.38,0.6,-0.27,0.65,0.05,0.86,-0.11,-9.91,2.68,-1.01,0,0,0,-9.66,1.66,-0.18,1.052090883255
,0,0.38,0.61,-0.26,0.64,0.06,0.74,-0.11,-10.18,1.26,-0.89,0,0,0,-9.66,1.64,-0.31,1.07119154930115
,0,0.38,0.61,-0.26,0.64,0.1,0.66,-0.14,-10.53,1.51,-0.66,0,0,0,-9.66,1.63,-0.38,1.08562660217285
,0,0.38,0.62,-0.26,0.64,-0.01,0.62,-0.17,-9.8,1.62,-1.02,0,0,0,-9.66,1.6,-0.49,1.10145664215088
