Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14,Data_15,Data_16,TimeStampGlob
2,0,2,0,0,8,0,8,83,0,6,398,102,543,0,576,0.987723350524902
0,0,5,13,0,39,0,10,82,12,6,427,155,576,75,580,0.997620105743408
5,0,0,29,0,22,0,10,86,0,8,462,130,576,4,582,1.00759816169739
64,1,15,2,0,0,0,10,109,1,8,474,128,576,1,593,1.01797413825989
2,0,0,3,0,2,26,7,108,0,8,458,155,573,1,591,1.02822971343994
1,0,3,0,0,0,43,10,56,0,7,448,157,581,0,594,1.03842329978943
0,0,0,0,0,59,72,10,81,0,2,468,162,576,0,592,1.04907131195068
3,80,0,141,9,1,78,22,160,0,21,503,179,592,17,605,1.05940365791321
4,29,2,24,8,0,74,36,134,0,5,486,182,587,0,597,1.06956601142883
0,0,1,3,22,1,78,78,129,0,6,478,187,569,3,580,1.07939600944519
1,0,1,1,19,0,88,107,96,0,4,471,225,556,13,578,1.08949017524719
6,0,1,0,19,0,124,122,140,0,4,465,239,552,3,572,1.10011625289917
0,1,0,0,135,1,143,131,223,0,5,465,248,548,3,560,1.11060094833374
2,0,1,3,98,0,147,165,152,0,3,468,255,528,30,539,1.12081170082092
69,5,58,0,120,1,151,168,166,0,3,466,262,521,28,529,1.13118672370911
1,56,3,0,147,3,167,213,168,0,2,496,251,496,30,501,1.14234495162964
1,6,3,0,160,4,195,233,183,5,3,446,272,495,29,501,1.15218281745911
1,0,0,42,189,123,229,303,233,2,2,457,266,473,26,484,1.16314339637756
0,0,2,43,343,4,281,270,215,125,4,450,269,469,36,522,1.17372846603394
0,0,2,45,202,14,214,271,185,45,0,436,229,456,36,392,1.18425250053406
1,0,3,26,217,1,219,250,196,0,2,381,249,440,39,448,1.19409775733948
0,3,49,69,229,13,230,193,195,0,22,451,276,447,26,530,1.20512413978577
0,1,0,108,251,29,286,261,200,0,0,440,268,526,43,477,1.21521234512329
2,2,0,133,243,57,225,303,200,87,5,410,253,437,54,430,1.22587871551514
0,4,0,157,258,64,220,265,202,2,2,395,253,433,26,434,1.23667454719543
1,3,0,173,262,86,221,287,205,0,1,387,261,399,29,437,1.2472836971283
0,2,0,223,276,95,264,291,208,0,14,374,228,426,37,435,1.25768899917603
0,0,1,199,282,99,271,296,223,1,1,364,238,424,24,429,1.26792621612549
3,19,1,204,271,109,277,297,129,2,1,372,236,404,24,431,1.27856850624084
0,0,0,196,295,81,282,306,259,0,1,347,211,408,110,428,1.28950548171997
40,10,21,206,299,111,280,309,253,0,0,340,226,401,4,425,1.30018210411072
3,63,13,204,298,132,276,309,247,0,2,354,213,397,4,419,1.3108377456665
0,2,31,203,259,123,273,320,242,0,2,344,207,386,5,415,1.32170176506042
0,81,25,200,384,156,303,303,231,0,2,343,205,382,2,400,1.33221316337585
0,3,28,203,355,129,303,273,302,0,3,336,195,382,2,390,1.34270286560059
1,0,34,200,372,186,317,327,317,0,3,307,192,367,3,385,1.35256290435791
0,4,37,194,326,206,295,324,304,0,2,311,189,364,2,380,1.36328911781311
0,4,51,199,305,215,274,302,321,0,2,319,182,355,3,362,1.37392067909241
4,6,42,168,355,216,346,333,313,0,0,278,178,433,4,369,1.38470983505249
0,1,124,176,332,232,279,329,313,0,3,220,278,334,4,475,1.39517140388489
0,0,63,272,344,233,237,345,320,0,104,322,168,204,0,349,1.40634369850159
0,6,54,198,358,255,265,373,309,45,1,300,178,305,4,335,1.41687750816345
0,4,65,186,364,260,305,352,310,0,0,289,158,383,4,321,1.42718839645386
2,3,78,242,371,266,282,357,310,0,5,287,153,300,3,315,1.43782925605774
0,6,87,242,379,269,283,355,328,1,4,283,145,344,1,303,1.44830322265625
3,6,93,244,404,275,282,362,301,0,1,281,147,300,3,291,1.45877146720886
5,8,107,255,415,274,280,362,307,0,2,276,138,276,4,285,1.46939539909363
0,10,114,242,426,296,283,360,308,0,2,276,140,265,4,267,1.4801082611084
4,4,112,244,424,247,277,375,257,0,3,272,133,255,4,249,1.49073672294617
85,0,181,240,443,274,281,385,310,1,3,220,136,250,3,227,1.50117111206055
143,5,251,254,472,272,285,400,319,0,14,369,134,232,4,209,1.51182317733765
18,34,129,254,554,277,353,403,355,0,15,271,129,238,1,199,1.52263879776001
40,3,157,256,477,234,280,402,312,0,41,304,116,216,4,151,1.53361082077026
29,9,138,255,436,267,221,402,313,0,5,264,126,146,8,148,1.54437732696533
37,6,131,259,541,270,321,394,312,0,3,261,117,168,3,111,1.55506110191345
43,8,137,258,547,271,356,415,315,37,2,257,77,157,52,76,1.56575179100037
46,7,141,257,552,272,313,451,311,0,3,250,116,138,3,49,1.5758752822876
52,8,141,269,568,273,303,460,321,0,0,243,113,102,52,27,1.58647274971008
92,6,147,251,577,272,298,460,318,0,0,244,66,101,2,3,1.59708094596863
79,6,155,302,594,271,299,468,319,0,1,240,105,59,3,0,1.60799288749695
200,7,182,343,599,270,299,467,326,0,2,246,80,17,0,2,1.61841440200806
155,5,158,284,594,290,308,461,350,0,0,226,69,96,4,1,1.62914443016052
153,7,163,290,589,284,309,467,296,0,0,219,57,23,61,1,1.63926148414612
161,6,170,283,607,240,319,460,331,0,0,201,44,12,5,0,1.6497163772583
