Time,Phase_Change_Indices
1738244464.0613768,0.0
1738244464.0760982,0.0
1738244464.0939617,0.0
1738244464.1110458,0.0
1738244464.1255977,0.0
1738244464.1440864,0.0
1738244464.1616783,0.0
1738244464.175649,0.0
1738244464.1941705,0.0
1738244464.2122507,0.0
1738244464.2260983,0.0
1738244464.245246,0.0
1738244464.2617185,0.0
1738244464.2766287,0.0
1738244464.2950015,0.0
1738244464.3120997,0.0
1738244464.326378,0.0
1738244464.3447337,0.0
1738244464.3625038,0.0
1738244464.3766952,0.0
1738244464.3947408,0.0
1738244464.4121585,0.0
1738244464.4335177,0.0
1738244464.4535315,0.0
1738244464.4685578,0.0
1738244464.4853933,0.0
1738244464.50448,0.0
1738244464.518704,0.0
1738244464.5357049,0.0
1738244464.5547316,0.0
1738244464.569256,0.0
1738244464.585798,0.0
1738244464.6045768,0.0
1738244464.619317,0.0
1738244464.635496,0.0
1738244464.65511,0.0
1738244464.669304,0.0
1738244464.6854832,0.0
1738244464.7046037,0.0
1738244464.7198164,0.0
1738244464.7360256,0.0
1738244464.7553334,0.0
1738244464.7694604,0.0
1738244464.7861328,0.0
1738244464.805439,0.0
1738244464.819567,0.0
1738244464.836123,0.0
1738244464.8551214,0.0
1738244464.8698914,0.0
1738244464.8859212,0.0
1738244464.9057631,0.0
1738244464.9198823,0.0
1738244464.9361546,0.0
1738244464.955448,0.0
1738244464.970611,0.0
1738244464.986411,0.0
1738244465.0058053,0.0
1738244465.0199254,0.0
1738244465.0367126,0.0
1738244465.0557663,0.0
1738244465.0700843,0.0
1738244465.0860932,0.0
1738244465.1060567,0.0
1738244465.120702,0.0
1738244465.1371267,0.0
1738244465.155912,0.0
1738244465.17042,0.0
1738244465.1868978,0.0
1738244465.2057705,0.0
1738244465.2204263,0.0
1738244465.2364457,0.0
1738244465.2561116,0.0
1738244465.2705443,0.0
1738244465.2867954,0.0
1738244465.305889,0.0
1738244465.3205674,0.0
1738244465.3366475,0.0
1738244465.3560734,0.0
1738244465.3705568,0.0
1738244465.3874035,0.0
1738244465.407293,0.0
1738244465.4210572,0.0
1738244465.436792,0.0
1738244465.456037,0.0
1738244465.4707232,0.0
1738244465.4866529,0.0
1738244465.506565,0.0
1738244465.5209394,0.0
