Time,data
1738247943.4434884,0.7712865691976534
1738247943.455051,0.7792970348185161
1738247943.463747,0.7830368750830886
1738247943.4748669,0.7867774555959893
1738247943.483363,0.7960127293545258
1738247943.4937158,0.8052498424831898
1738247943.505634,0.8065514981523123
1738247943.5154629,0.8109065180146104
1738247943.5258012,0.8232012857036418
1738247943.53766,0.823894358585868
1738247943.547665,0.825198367464254
1738247943.5585515,0.8277243623060042
1738247943.5674207,0.8290289985819598
1738247943.5778682,0.8364437763295143
1738247943.5879853,0.8365274290724215
1738247943.5977683,0.8372222012772624
1738247943.6091728,0.8452511706400231
1738247943.6196122,0.8490031042287106
1738247943.6300669,0.8521444853591355
1738247943.6431813,0.8589546199451977
1738247943.6518128,0.8755487760601847
1738247943.6604218,0.8848085080568723
1738247943.6718225,0.8995739348307042
1738247943.683101,0.9137307059306012
1738247943.6923525,0.9285019610412532
1738247943.7027535,0.9402175488434259
1738247943.7156017,0.9452058497737172
1738247943.7226512,0.9550898983081303
1738247943.73313,0.9619163839128184
1738247943.7439404,0.9687442253983614
1738247943.7539518,0.9774095084563309
1738247943.7646346,0.9873006944652273
1738247943.7748318,1.0
1738247943.783925,1.0
1738247943.7955792,1.0
1738247943.8041513,1.0
1738247943.8156803,1.0
1738247943.8262093,1.0
1738247943.8354504,1.0
1738247943.8460155,0.9953686084161344
1738247943.8576145,0.9765406561422856
1738247943.867227,0.9665820804591027
1738247943.8771732,0.9613543243835043
1738247943.8870678,0.9602671457757637
1738247943.897037,0.955629414098439
1738247943.9078512,0.9427058226929896
1738247943.9174285,0.9084734197423127
1738247943.927194,0.8837045370173974
1738247943.9380465,0.8441317472583217
1738247943.9475987,0.8134312875417514
1738247943.9568343,0.7768039171128015
1738247943.9699712,0.7354321293822212
1738247943.9780884,0.6934598641076516
1738247943.9893184,0.6609552572201193
1738247943.9987288,0.6231133244109048
1738247944.00968,0.6136976854431616
1738247944.0192842,0.5847299165557487
1738247944.0306892,0.5628662367026585
1738247944.0394201,0.5190738267000687
1738247944.0480568,0.5001622419489186
1738247944.0577748,0.43857473311572837
1738247944.0686252,0.4113531147470361
1738247944.0790064,0.40190966041631615
1738247944.0874577,0.37112184289315936
1738247944.0990946,0.3492214484452772
1738247944.1090338,0.32968852969435164
1738247944.1167483,0.30481448192102795
1738247944.127021,0.29713487971839014
1738247944.140066,0.27581145154246245
1738247944.1490579,0.2710934176318822
1738247944.157986,0.2598485601793536
1738247944.168366,0.2580945849790888
1738247944.1788886,0.24091237055087128
1738247944.1869092,0.0
1738247944.1981456,0.0
1738247944.2092938,0.0
1738247944.2180092,0.0
1738247944.2281225,0.0
1738247944.236714,0.0
1738247944.2463338,0.0
1738247944.2571483,0.0
1738247944.2693918,0.0
1738247944.278693,0.0
1738247944.2899203,0.0
1738247944.297302,0.0
1738247944.3077314,0.0
1738247944.3171983,0.0
1738247944.3295045,0.0
1738247944.3368838,0.0
1738247944.3476574,0.0
1738247944.3597474,0.0
1738247944.3685536,0.0
1738247944.3775916,0.0
1738247944.3860893,0.0
1738247944.3967624,0.0
1738247944.4081476,0.0
1738247944.4158392,0.0
1738247944.4256468,0.0
1738247944.4392173,0.0
1738247944.4470334,0.0
1738247944.4572752,0.0
1738247944.466147,0.0
1738247944.476586,0.0
1738247944.4878604,0.0
1738247944.4973707,0.0
1738247944.5048938,0.0
1738247944.5145295,0.0
1738247944.527437,0.0
1738247944.5376136,0.0
1738247944.5449915,0.0
