Time,Phase_Change_Indices
1738244948.721418,0.0
1738244948.738717,0.0
1738244948.755232,0.0
1738244948.771079,0.0
1738244948.788082,0.0
1738244948.8056662,0.0
1738244948.821802,0.0
1738244948.8385136,0.0
1738244948.8557744,0.0
1738244948.8715465,0.0
1738244948.8887508,0.0
1738244948.9058464,0.0
1738244948.921628,0.0
1738244948.93866,0.0
1738244948.955958,0.0
1738244948.9720528,0.0
1738244948.9883797,0.0
1738244949.0059707,0.0
1738244949.022065,0.0
1738244949.03842,0.0
1738244949.055528,0.0
1738244949.0724187,0.0
1738244949.0891757,0.0
1738244949.1068091,0.0
1738244949.1226606,0.0
1738244949.1393106,0.0
1738244949.1569035,0.0
1738244949.173576,0.0
1738244949.189162,0.0
1738244949.2068589,0.0
1738244949.2232628,0.0
1738244949.2396395,0.0
1738244949.2570412,0.0
1738244949.2740376,0.0
1738244949.2894688,0.0
1738244949.306439,0.0
1738244949.3237236,0.0
1738244949.3391106,0.0
1738244949.3563826,0.0
1738244949.3738408,0.0
1738244949.389496,0.0
1738244949.4062316,0.0
1738244949.4234378,0.0
1738244949.4393833,0.0
1738244949.456953,0.0
1738244949.4738834,0.0
1738244949.4891317,0.0
1738244949.5069962,0.0
1738244949.524262,0.0
1738244949.5402217,0.0
1738244949.5572102,0.0
1738244949.5739486,0.0
1738244949.5902662,0.0
1738244949.607629,0.0
1738244949.6252306,0.0
1738244949.6403246,0.0
1738244949.657673,0.0
1738244949.6742425,0.0
1738244949.690446,0.0
1738244949.7075708,0.0
1738244949.7250316,0.0
1738244949.7403252,0.0
1738244949.7577732,0.0
1738244949.7748158,0.0
1738244949.7900913,0.0
1738244949.8077266,0.0
1738244949.8248785,0.0
1738244949.8405805,0.0
1738244949.8578408,0.0
1738244949.874885,0.0
1738244949.890257,0.0
1738244949.908839,0.0
1738244949.9251535,0.0
1738244949.9406464,0.0
1738244949.958788,0.0
1738244949.9755068,0.0
1738244949.990682,0.0
1738244950.0086803,0.0
1738244950.0259027,0.0
1738244950.041746,0.0
1738244950.0583923,0.0
1738244950.076257,0.0
1738244950.0915954,0.0
1738244950.108888,0.0
1738244950.126515,0.0
1738244950.1416895,0.0
1738244950.1587043,0.0
1738244950.1758811,0.0
1738244950.191736,0.0
1738244950.208721,0.0
1738244950.2270112,0.0
1738244950.242266,0.0
1738244950.259286,0.0
1738244950.276547,0.0
1738244950.2919836,0.0
1738244950.30983,0.0
1738244950.3267727,0.0
1738244950.3429377,0.0
1738244950.3599374,0.0
1738244950.3773537,0.0
1738244950.392207,0.0
1738244950.4099689,0.0
1738244950.4272673,0.0
1738244950.4420557,0.0
1738244950.460083,0.0
1738244950.4771268,0.0
