Time,Gait_Phases
1738244948.721418,False
1738244948.738717,False
1738244948.755232,False
1738244948.771079,False
1738244948.788082,False
1738244948.8056662,False
1738244948.821802,False
1738244948.8385136,False
1738244948.8557744,False
1738244948.8715465,False
1738244948.8887508,False
1738244948.9058464,False
1738244948.921628,False
1738244948.93866,False
1738244948.955958,False
1738244948.9720528,False
1738244948.9883797,False
1738244949.0059707,False
1738244949.022065,False
1738244949.03842,False
1738244949.055528,False
1738244949.0724187,False
1738244949.0891757,False
1738244949.1068091,False
1738244949.1226606,False
1738244949.1393106,False
1738244949.1569035,False
1738244949.173576,False
1738244949.189162,False
1738244949.2068589,False
1738244949.2232628,False
1738244949.2396395,False
1738244949.2570412,False
1738244949.2740376,False
1738244949.2894688,False
1738244949.306439,False
1738244949.3237236,False
1738244949.3391106,False
1738244949.3563826,False
1738244949.3738408,False
1738244949.389496,False
1738244949.4062316,False
1738244949.4234378,False
1738244949.4393833,False
1738244949.456953,False
1738244949.4738834,False
1738244949.4891317,False
1738244949.5069962,False
1738244949.524262,False
1738244949.5402217,False
1738244949.5572102,False
1738244949.5739486,False
1738244949.5902662,False
1738244949.607629,False
1738244949.6252306,False
1738244949.6403246,False
1738244949.657673,False
1738244949.6742425,False
1738244949.690446,False
1738244949.7075708,False
1738244949.7250316,False
1738244949.7403252,False
1738244949.7577732,False
1738244949.7748158,False
1738244949.7900913,False
1738244949.8077266,False
1738244949.8248785,False
1738244949.8405805,False
1738244949.8578408,False
1738244949.874885,False
1738244949.890257,False
1738244949.908839,False
1738244949.9251535,False
1738244949.9406464,False
1738244949.958788,False
1738244949.9755068,False
1738244949.990682,False
1738244950.0086803,False
1738244950.0259027,False
1738244950.041746,False
1738244950.0583923,False
1738244950.076257,False
1738244950.0915954,False
1738244950.108888,False
1738244950.126515,False
1738244950.1416895,False
1738244950.1587043,False
1738244950.1758811,False
1738244950.191736,False
1738244950.208721,False
1738244950.2270112,False
1738244950.242266,False
1738244950.259286,False
1738244950.276547,False
1738244950.2919836,False
1738244950.30983,False
1738244950.3267727,False
1738244950.3429377,False
1738244950.3599374,False
1738244950.3773537,False
1738244950.392207,False
1738244950.4099689,False
1738244950.4272673,False
1738244950.4420557,False
1738244950.460083,False
1738244950.4771268,False
1738244950.4927917,False
1738244950.509946,False
1738244950.5277011,False
1738244950.5432074,False
1738244950.5609052,False
1738244950.5784802,False
1738244950.5941918,False
1738244950.6110854,False
1738244950.629128,False
1738244950.6440604,False
1738244950.660982,False
1738244950.6786382,False
1738244950.694219,False
1738244950.7119129,False
1738244950.728331,False
1738244950.7450104,False
1738244950.7616577,False
1738244950.7787006,False
1738244950.7945929,False
1738244950.81174,False
1738244950.8284388,False
1738244950.8445823,False
1738244950.8615782,False
1738244950.878553,False
1738244950.893628,False
1738244950.9113753,False
1738244950.9283369,False
1738244950.944344,False
1738244950.961422,False
1738244950.9784446,False
1738244950.9935236,False
1738244951.011124,False
1738244951.0291145,False
1738244951.0433722,False
1738244951.061754,False
1738244951.0784347,False
1738244951.0943124,False
1738244951.1113997,False
1738244951.1293814,False
1738244951.143851,False
1738244951.161975,False
1738244951.1792033,False
1738244951.1937337,False
1738244951.2109995,False
1738244951.2289746,False
1738244951.24433,False
1738244951.2610395,False
1738244951.2785509,False
1738244951.2937648,False
1738244951.3116715,False
1738244951.328761,False
1738244951.3441403,False
1738244951.3614702,False
1738244951.3786917,False
1738244951.3935635,False
1738244951.4115682,False
1738244951.4287338,False
1738244951.4440012,False
1738244951.4620016,False
1738244951.478815,False
1738244951.494755,False
1738244951.5116398,False
1738244951.5293808,False
1738244951.544695,False
1738244951.5631554,False
1738244951.5796874,False
1738244951.59539,False
1738244951.6133237,False
1738244951.629948,False
1738244951.6453123,False
1738244951.6638668,False
1738244951.680626,False
1738244951.696048,False
1738244951.7141392,False
1738244951.7305677,False
1738244951.745698,False
1738244951.7644184,False
1738244951.7808175,False
1738244951.7956269,False
1738244951.8138134,False
1738244951.829908,False
1738244951.8453894,False
1738244951.8637748,False
1738244951.8801074,False
1738244951.8958178,False
1738244951.9128597,False
1738244951.929558,False
1738244951.9449215,False
1738244951.963227,False
1738244951.9796813,False
1738244951.9949365,False
1738244952.0117018,False
1738244952.0292654,False
1738244952.044311,False
1738244952.0618749,False
1738244952.0791197,False
1738244952.094711,False
1738244952.1125062,False
1738244952.1295316,False
1738244952.1446755,False
1738244952.1628263,False
1738244952.1798549,False
1738244952.1947446,False
1738244952.2127583,False
1738244952.2299736,False
1738244952.24465,False
1738244952.2623374,False
1738244952.280169,False
1738244952.2950506,False
1738244952.3128178,False
1738244952.3297234,False
1738244952.3447022,False
1738244952.3634095,False
1738244952.379893,False
1738244952.3951533,False
1738244952.4124875,False
1738244952.430361,False
