Time,data
1738246876.6836574,3
1738246876.6959546,3
1738246876.7036965,3
1738246876.7135742,3
1738246876.7271671,3
1738246876.7359648,3
1738246876.7478166,3
1738246876.7557545,3
1738246876.7664165,3
1738246876.7761633,3
1738246876.787418,3
1738246876.7968986,3
1738246876.8065617,3
1738246876.8189812,3
1738246876.8274262,3
1738246876.8382237,3
1738246876.8473654,3
1738246876.857843,3
1738246876.8671362,3
1738246876.8774672,3
1738246876.8891335,3
1738246876.8969605,3
1738246876.907566,3
1738246876.9172368,3
1738246876.9283996,3
1738246876.9370892,3
1738246876.949442,3
1738246876.957039,3
1738246876.9660776,3
1738246876.9797564,3
1738246876.9880672,3
1738246876.9975681,3
1738246877.0083613,3
1738246877.0170856,3
1738246877.0263324,3
1738246877.0390832,3
1738246877.0484555,3
1738246877.059437,3
1738246877.0683255,3
1738246877.0782712,3
1738246877.0888965,3
1738246877.0982985,3
1738246877.1078157,3
1738246877.1181073,3
1738246877.1293333,3
1738246877.1405027,3
1738246877.1490276,3
1738246877.1598103,3
1738246877.168494,3
1738246877.1800873,3
1738246877.1887908,3
1738246877.1996665,3
1738246877.2104447,3
1738246877.2183044,3
1738246877.2280028,3
1738246877.2380288,3
1738246877.249894,3
1738246877.2596185,3
1738246877.2685385,3
1738246877.278966,3
1738246877.289861,3
1738246877.3005688,3
1738246877.311631,3
1738246877.3185382,3
1738246877.3309135,3
1738246877.3391268,3
1738246877.348651,3
1738246877.3582337,3
1738246877.368323,3
1738246877.3802998,3
1738246877.390214,3
1738246877.3986766,3
1738246877.408943,0
1738246877.4201765,0
1738246877.4315584,0
1738246877.4398403,0
1738246877.4517071,0
1738246877.4595711,0
1738246877.4713764,0
1738246877.4800305,0
1738246877.4909241,0
1738246877.4995723,0
1738246877.5106883,0
1738246877.5202186,0
1738246877.5318127,0
1738246877.5412178,0
1738246877.5536604,0
1738246877.56048,0
1738246877.5698943,0
1738246877.5802267,0
1738246877.5920072,0
1738246877.603378,0
1738246877.6127713,0
1738246877.6204996,0
1738246877.6338184,0
1738246877.6424787,0
1738246877.6521611,0
1738246877.660585,0
1738246877.671996,0
1738246877.6844358,0
1738246877.6917222,0
1738246877.7041001,0
1738246877.7139628,0
1738246877.7218897,0
1738246877.7332425,0
1738246877.7437937,0
1738246877.7538178,0
1738246877.7654438,0
1738246877.7740777,0
1738246877.7855675,0
1738246877.7942863,0
1738246877.8051386,0
1738246877.8162527,0
1738246877.827278,0
1738246877.8358958,0
1738246877.8450267,0
1738246877.8573759,0
1738246877.868392,0
1738246877.8760347,0
1738246877.8877358,0
1738246877.8977823,0
1738246877.906484,0
1738246877.9208214,0
1738246877.9275014,3
1738246877.9385543,3
1738246877.9521868,3
1738246877.9588706,3
1738246877.969005,3
1738246877.97855,3
1738246877.9907207,3
1738246878.0033677,3
1738246878.0103297,3
1738246878.0218472,3
1738246878.031948,3
1738246878.041153,3
1738246878.054878,3
1738246878.0627806,3
1738246878.0740085,3
1738246878.084636,3
1738246878.0952017,3
1738246878.1060712,3
1738246878.1152685,3
1738246878.1252458,3
1738246878.1370797,3
1738246878.146787,3
1738246878.1586866,3
1738246878.1669803,3
1738246878.1816614,3
1738246878.1884964,3
1738246878.1986535,3
1738246878.2075584,3
1738246878.219954,3
1738246878.2284005,3
1738246878.2397504,3
1738246878.2514567,3
1738246878.2592988,3
1738246878.2688198,3
1738246878.2846513,3
1738246878.2921422,3
1738246878.3002455,3
1738246878.3099637,3
1738246878.3204951,3
1738246878.332603,3
1738246878.3431482,3
1738246878.3527615,3
1738246878.364915,3
1738246878.3718371,3
1738246878.3835895,3
1738246878.394355,3
1738246878.403509,3
1738246878.413365,3
1738246878.4241657,3
1738246878.4343686,3
1738246878.446059,3
1738246878.4563012,3
1738246878.4688158,3
1738246878.475898,3
1738246878.488992,3
1738246878.4978025,3
1738246878.509921,3
1738246878.5167553,3
1738246878.527326,3
1738246878.5383246,3
1738246878.5490048,3
1738246878.5575962,3
1738246878.5689037,3
1738246878.5794775,3
1738246878.5890827,3
1738246878.599777,3
1738246878.6115315,3
1738246878.6204324,3
1738246878.62956,3
1738246878.6390471,3
1738246878.6495044,3
1738246878.660881,3
1738246878.6717756,3
1738246878.680964,3
1738246878.6899986,3
1738246878.7005475,3
1738246878.7102525,3
1738246878.719628,3
1738246878.731484,3
1738246878.7413728,3
1738246878.7518327,3
1738246878.7599432,3
1738246878.7696042,3
1738246878.7815797,3
1738246878.7907133,3
1738246878.8006585,3
1738246878.810659,3
1738246878.820382,3
1738246878.8314555,3
1738246878.8401196,3
1738246878.8503656,3
1738246878.8615725,3
1738246878.8713098,3
1738246878.8831742,3
1738246878.8925352,3
1738246878.9007056,3
1738246878.9107544,3
1738246878.9220746,3
